GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CareerCompass,vn.uth.careercompass.mentor.entity,Sender,0,24,0,0,0,3,0,1,0,1
CareerCompass,vn.uth.careercompass.dashboard.controller,DashboardController,20,0,0,0,4,0,1,0,1,0
CareerCompass,vn.uth.careercompass.admin.config,TemplateDataSeeder,221,50,21,5,50,11,14,3,2,2
CareerCompass,vn.uth.careercompass.roadmap.entity,ProgressStatus,0,34,0,0,0,4,0,1,0,1
CareerCompass,vn.uth.careercompass.roadmap.controller,RoadmapPageController,17,244,8,26,2,53,9,21,2,10
CareerCompass,vn.uth.careercompass.roadmap.controller,SkillGapPageController,8,244,3,9,1,50,2,10,0,6
CareerCompass,vn.uth.careercompass.roadmap.controller,SkillGapController,66,0,4,0,10,0,6,0,4,0
CareerCompass,vn.uth.careercompass.roadmap.controller,RoadmapController,53,0,0,0,12,0,3,0,3,0
CareerCompass,vn.uth.careercompass.marketpulse.dto,JobTrendDTO,0,18,0,0,0,7,0,1,0,1
CareerCompass,vn.uth.careercompass.kernel.security,CustomUserDetails,22,17,0,0,5,6,5,4,5,4
CareerCompass,vn.uth.careercompass.onboarding.service,OnboardingService,0,100,3,9,0,18,3,6,0,3
CareerCompass,vn.uth.careercompass.onboarding.service,TranscriptAnalysisService,5,95,2,10,0,23,2,7,0,3
CareerCompass,vn.uth.careercompass.dashboard.dto,ActivityLogDTO,0,12,0,0,0,5,0,1,0,1
CareerCompass,vn.uth.careercompass.admin.web,CounselorTemplateController,402,0,20,0,78,0,26,0,16,0
CareerCompass,vn.uth.careercompass.admin.web,AdminUserController,81,0,8,0,17,0,8,0,4,0
CareerCompass,vn.uth.careercompass.admin.web,AdminDashboardController,10,0,0,0,3,0,1,0,1,0
CareerCompass,vn.uth.careercompass.profile.controller,ProfileController,1,148,3,9,0,37,3,9,0,6
CareerCompass,vn.uth.careercompass.roadmap.service,PdfService,14,377,2,12,4,52,2,11,0,6
CareerCompass,vn.uth.careercompass.roadmap.service,ProgressService,0,97,0,12,0,21,0,9,0,3
CareerCompass,vn.uth.careercompass.roadmap.service,RoadmapService,6,439,1,41,0,88,2,47,1,27
CareerCompass,vn.uth.careercompass.roadmap.service,SkillGapService,14,404,2,6,0,94,3,24,2,21
CareerCompass,vn.uth.careercompass.profile.service,ProfileService,0,125,0,18,0,32,0,16,0,7
CareerCompass,vn.uth.careercompass.marketpulse.controller,MarketPulseController,14,0,0,0,3,0,1,0,1,0
CareerCompass,vn.uth.careercompass.config,DataSeeder,63,56,5,4,19,10,6,4,2,3
CareerCompass,vn.uth.careercompass.config,GlobalModelAdvice,0,3,0,0,0,1,0,1,0,1
CareerCompass,vn.uth.careercompass.config,OnboardingInterceptor,41,80,22,18,12,19,21,2,1,2
CareerCompass,vn.uth.careercompass.config,SecurityConfig,0,125,0,0,0,21,0,8,0,8
CareerCompass,vn.uth.careercompass.config,WebMvcConfig,0,93,0,0,0,15,0,2,0,2
CareerCompass,vn.uth.careercompass.dashboard.service,DashboardService,0,52,0,0,0,16,0,1,0,1
CareerCompass,vn.uth.careercompass.mentor.service,MentorService,0,176,2,14,0,42,2,13,0,7
CareerCompass,vn.uth.careercompass.mentor.service,LlmClient,95,9,2,0,25,5,3,1,2,1
CareerCompass,vn.uth.careercompass.kernel.entity,PasswordResetToken,0,15,0,4,0,2,0,4,0,2
CareerCompass,vn.uth.careercompass.kernel.entity,User,0,9,0,2,0,3,0,2,0,1
CareerCompass,vn.uth.careercompass.kernel.entity,RoleName,0,34,0,0,0,2,0,1,0,1
CareerCompass,vn.uth.careercompass.kernel.entity,AuthProvider,0,24,0,0,0,2,0,1,0,1
CareerCompass,vn.uth.careercompass.marketpulse.service,MarketPulseService,0,28,0,0,0,11,0,1,0,1
CareerCompass,vn.uth.careercompass.marketpulse.service,KeywordAnalysisService,0,139,0,10,0,19,0,8,0,3
CareerCompass,vn.uth.careercompass.marketpulse.service,ScraperService,7,343,2,18,4,53,3,11,1,3
CareerCompass,vn.uth.careercompass.marketpulse.config,JobTrendSeeder,173,7,3,1,44,2,3,1,1,1
CareerCompass,vn.uth.careercompass.kernel.service,PasswordResetService,0,93,0,6,0,26,0,6,0,3
